CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10000,3745.4,0.59,1315.91,2021.38,1148.27,1968.18,0.52,0.02,0.36,0.27,1,14,14755.68,1326.54,334.2,0.33,25
C10001,9507.14,0.77,1242.42,2392.08,1612.81,2367.18,0.14,0.09,0.34,0.16,0,14,3530.78,2439.73,549.06,0.28,13
C10002,7319.94,0.94,4532.21,758.9,1522.72,4272.74,0.7,0.42,0.05,0.22,1,18,,756.18,96.26,0.18,24
C10003,5986.58,0.87,1255.24,1878.37,316.26,1700.02,0.49,0.38,0.46,0.13,1,14,2255.79,287.87,735.21,0.32,17
C10004,1560.19,0.9,1367.03,1719.52,307.01,4348.25,0.13,0.18,0.28,0.19,3,15,11274.1,3975.08,766.02,0.14,33
C10005,1559.95,0.83,3799.4,2500.16,543.67,440.67,0.77,0.19,0.18,0.1,2,18,14926.55,3700.47,1612.49,0.4,16
C10006,580.84,0.85,2254.2,2719.2,728.54,3883.99,0.41,0.27,0.38,0.09,1,20,12467.94,4279.32,1309.73,0.11,21
C10007,8661.76,0.92,3885.79,46.35,822.83,4237.74,0.06,0.0,0.13,0.17,0,12,8779.85,3996.28,879.08,0.08,10
C10008,6011.15,0.62,336.18,2025.32,1362.6,909.09,0.5,0.12,0.35,0.15,0,16,7786.38,774.34,1307.71,0.39,33
C10009,7080.73,0.74,2442.98,164.99,122.79,2151.73,0.2,0.1,0.02,0.17,0,16,12690.42,1817.37,115.04,0.35,8
C10010,205.84,0.61,177.73,1651.09,79.0,827.5,0.64,0.13,0.42,0.09,0,20,14103.64,864.21,368.74,0.09,17
C10011,9699.1,0.99,322.64,870.02,789.9,3533.02,0.65,0.4,0.22,0.11,0,18,14848.89,5073.54,1257.63,0.06,20
C10012,8324.43,0.97,4533.12,927.26,1397.36,2676.74,0.78,0.14,0.32,0.03,0,19,6551.55,4506.73,1286.32,0.42,21
C10013,2123.39,0.52,704.83,1065.35,394.94,3176.62,0.4,0.1,0.11,0.02,1,12,14872.84,1289.01,1550.53,0.39,18
C10014,1818.25,0.85,2666.78,1867.66,1286.59,982.43,0.36,0.25,0.34,0.08,1,17,3182.97,2113.72,811.97,0.16,12
C10015,1834.05,0.96,2061.37,1008.81,527.06,1058.73,0.6,0.43,0.39,0.02,3,18,4549.7,5803.03,1447.88,0.33,20
C10016,3042.42,0.59,1743.24,2200.77,1773.31,207.49,0.11,0.12,0.24,0.03,0,19,2246.23,3605.54,1371.12,0.06,8
C10017,5247.56,0.78,4500.17,1219.54,1792.42,1610.34,0.44,0.04,0.31,0.24,4,10,4804.34,4826.82,1927.15,0.25,17
C10018,4319.45,0.96,118.9,214.38,601.6,2798.72,0.44,0.18,0.23,0.01,1,16,11751.13,1661.09,438.11,0.01,13
C10019,2912.29,0.52,3322.31,2353.44,467.69,4289.67,0.07,0.37,0.45,0.2,1,22,12940.94,1339.31,1107.84,0.2,30
C10020,6118.53,0.85,4817.34,864.42,828.49,3334.64,0.33,0.28,0.25,0.08,1,20,11904.5,4725.11,1207.51,0.04,34
C10021,1394.94,0.65,2805.24,1303.97,488.66,2176.98,0.68,0.41,0.42,0.26,0,15,9834.92,4146.65,1997.31,0.24,17
C10022,2921.45,0.96,4684.74,2059.48,1348.04,4765.6,0.68,0.48,0.4,0.15,2,14,8195.53,4117.77,410.36,0.21,23
C10023,3663.62,0.99,270.77,1004.04,1653.87,3596.23,0.08,0.4,0.21,0.09,0,11,10921.86,3360.54,1051.2,0.22,8
C10024,4560.7,0.97,2099.78,179.19,1349.45,4650.83,0.07,0.3,0.12,0.16,0,16,6471.67,3425.11,698.91,0.02,17
C10025,7851.76,0.74,1308.19,1128.02,1650.46,2637.94,0.21,0.25,0.2,0.11,3,7,12778.32,4440.62,1056.53,0.18,34
C10026,1996.74,0.93,3656.8,2833.9,800.01,1294.52,0.7,0.02,0.41,0.17,2,8,10480.66,1693.01,471.94,0.38,28
C10027,5142.34,0.92,4906.67,1928.79,321.07,264.13,0.1,0.49,0.11,0.03,1,16,10769.27,2181.33,104.75,0.18,26
C10028,5924.15,0.66,1290.09,2017.72,1478.52,3630.42,0.58,0.19,0.26,0.3,2,16,,5242.66,1149.41,0.36,31
C10029,464.5,0.91,3274.33,1900.52,727.34,606.51,0.08,0.08,0.4,0.13,0,12,13393.21,1922.3,678.35,0.18,28
C10030,6075.45,0.52,998.51,604.99,1345.83,1513.88,0.5,0.33,0.18,0.1,0,16,4528.21,3323.23,372.06,0.21,7
